"name","b","n","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"ftrain uniform",7,199,102.15253221183474,1.8512442999999998,0.924494993564547,0.3969787324483803,1.164415647191362,76.41508222422932,1.8272468090463405,0.9118429377078687,0.39389216455812864,1.1252691966950634
"redistricting",7,199,0.427481366568454,0.2949021171435412,0.4037901983206004,0.242857223701857,0.20833440823410693,0.43151578441998784,0.2874096832453918,0.3919276599958743,0.2384632843589998,0.2035088688505864
"ftrain redistricting",7,199,102.15253221183474,1.8512442999999998,0.924494993564547,0.3969787324483803,1.164415647191362,76.41508222422932,1.8272468090463405,0.9118429377078687,0.39389216455812864,1.1252691966950634
"uniform",7,398,0.30964752449919053,0.24950785203072534,0.34098174330499104,0.21777061558015495,0.16837189746382525,0.30665372651793704,0.24184638541975736,0.3300278865217371,0.2135086080815841,0.16360316448605636
"ftrain uniform",7,398,73.58868295506245,1.800993173869318,0.9290216158491577,0.39493016986714996,1.106150498874174,55.60119953158122,1.7769956829156588,0.9146031733178,0.39164423049173636,1.0705084721082094
"uniform",7,794,0.28068394972110317,0.23945993937877325,0.3072555769440595,0.2042647060084914,0.15128377025438078,0.2736179318846938,0.23394893026701144,0.2958800791632676,0.19978429260365002,0.1459593611951847
"ftrain uniform",7,794,71.9821908626406,1.7490261000000014,0.916452438326935,0.39269000698853956,1.1007397360235327,54.30112879723606,1.7246714524302964,0.9005881614335207,0.3890944633250613,1.0630252541969338
"uniform",7,1583,0.24625489203188608,0.22671331356400748,0.2760642490368608,0.19272707662234753,0.13480432755164545,0.2396780205964975,0.22230085121607926,0.2654188605880913,0.18833606247571605,0.12986542031440143
"ftrain uniform",7,1583,72.8769336747409,1.6986135,0.8595127592437283,0.3803021923984375,1.0504765895850081,54.9437489227041,1.675675943721153,0.8435186635883093,0.37654935340828066,1.013197220522968
"uniform",7,3158,0.22742512533044232,0.22234145522015128,0.2566429089729167,0.1850079055559946,0.12486563835687808,0.22141337482827345,0.21893916098792418,0.24680633605095004,0.1808386961966804,0.1203390377245407
"ftrain uniform",7,3158,63.77702520872099,1.763059770075978,0.8336206163011131,0.37459354210533957,1.0133707378826504,48.32810064052227,1.739062279122318,0.81846623141128,0.37091627498431573,0.9780024152935193
"uniform",7,6300,0.21452267086009194,0.21915351613667336,0.24200742457154809,0.1791379364800895,0.11761532389180795,0.20878000927042473,0.2177195337472292,0.23260694383490543,0.17508551192877173,0.11331388443060614
"ftrain uniform",7,6300,74.83224611772572,1.784680872238087,0.8519354955349279,0.3782719715373659,1.0388720084967928,56.349828794306916,1.7606833812844278,0.8372707096474128,0.3747125078445537,1.002302451444078
"uniform",7,12566,0.20154253339703937,0.21144075880391597,0.22756404394207072,0.1733301597108597,0.11047713484750925,0.19623407673811927,0.21189392518840958,0.2186743798199005,0.16941961067035333,0.1064455020827242
"ftrain uniform",7,12566,69.45976819951387,1.7302141003742297,0.8191479940075006,0.3701336570293353,0.9874529719285832,52.36604139712451,1.7062166094205702,0.8047395366595436,0.3666386971432032,0.9534856545773366
"uniform",7,25066,0.19337341071012543,0.2062903449075649,0.21676014261813537,0.1687293364666765,0.10534424696131926,0.18848349637465536,0.20737862755775596,0.20844054618485938,0.1650280154894886,0.10160206460145942
"ftrain uniform",7,25066,66.59656574198883,1.719404931420987,0.8141065867875579,0.36927941069192927,0.9824570294642061,50.256621166531936,1.695407440467328,0.8001639769242629,0.36586100770914715,0.9487047173636245
"uniform",7,50000,0.18652503611203833,0.20228731709848058,0.20772979391352275,0.16482623029866592,0.10106368403744098,0.1820416481526973,0.20407654684212764,0.19995109386131518,0.16133414058466217,0.09759425635312152
"ftrain uniform",7,50000,64.30277949506365,1.7353800000000028,0.824521932344917,0.37159614696815074,0.9903733272807971,48.62405167454663,1.7113825090463426,0.8103655745280107,0.3681509459932419,0.9565692523630432
"redistricting",7,398,0.21654787843938214,0.24407718569530254,0.26044869692349915,0.19337022925214023,0.12649596159436996,0.21077299215348752,0.21982900490213136,0.2463191013890542,0.18738981390174553,0.12019504362882186
"ftrain redistricting",7,398,36.391724541119686,1.250069055639095,0.6133571113484361,0.3173645364657239,0.7004809955516839,27.376479461747063,1.2281242539266382,0.6051025807549187,0.3146855898272654,0.6745505877917584
"redistricting",7,794,0.15500778405494448,0.17585993531166022,0.19737236757388366,0.16549559095335772,0.09372304016053767,0.149051135990054,0.16442860529911743,0.18545316814722576,0.15981259979344428,0.08840137584335529
"ftrain redistricting",7,794,26.787606767408324,1.0238728000000001,0.4349393405557572,0.27060749796882405,0.5330636913265163,20.158354050412047,1.0005780871051075,0.42777150169015166,0.2680104043651336,0.5120009459931295
"redistricting",7,1583,0.14018107372305166,0.1605158935329476,0.17719601043566552,0.15548718213155438,0.08393902818578913,0.13459778985953413,0.1544338096900404,0.16630836259950327,0.15007575125074346,0.07910306919232557
