"name","method","b","J","cond_R","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"entropy","tree",9,186,24.301308698414964,0.30607039514476614,0.13546963301698686,0.11579726000968397,0.127216943891426,0.06423045817169842,0.1407421066301221,0.14234481641172733,0.1188592018058018,0.12801059124040365,0.06206075582559888
"entropy","tree",9,210,23.64468180051627,0.2052746543035836,0.1301642153089859,0.11922634568883798,0.12941901186369606,0.06287833327256175,0.12282165100541372,0.1355097851996383,0.12204841254013014,0.13024497375894084,0.061570528426412446
"univariate","univariate",10,21,62876.96936458928,1.9372294936961845,0.9122397328627323,1.2888314573928354,0.5084272384723492,0.7493493968889549,32139.821159874395,0.9105275855304168,1.2675205772232705,0.5050902673449168,0.7988826484243079
"univariate","univariate",10,24,6095.193660070117,4.209222001224468,1.1100782994770335,1.4885573050098166,0.5394178305729505,0.9867908110608433,106396.00743011157,1.109938930894668,1.4891408626799763,0.5411499061846206,1.1039051714073844
"univariate","univariate",10,27,2160.5956984908057,2.0009594501777475,0.9480521266875329,1.2610027834548034,0.5103802371483769,0.7359363988810188,27131.197838682227,0.923411241794536,1.2578910885305281,0.5097452826504907,0.786229315090518
"univariate","univariate",10,30,1526.1527069696428,1.3907918991791501,1.1637926841216406,1.1242886926542013,0.4834023167828965,0.6185306360884938,32194.789302400994,1.1390901435663177,1.1025317095418057,0.48040425794750435,0.6683804944062557
"univariate","univariate",10,34,306.6454463228108,2.785173406867029,0.7900155907095213,0.7901213780320622,0.3595961097380887,0.5247461544334386,2.4484175578111316,0.7688715068377355,0.7726333921061407,0.35534601833386936,0.5041903913836592
"univariate","univariate",10,38,260.18817222357734,5.403579705366186,0.8982594080691915,1.2155735940426216,0.48287524619279876,0.782245373412739,313008.98115367175,0.8894765142578054,1.2014271315846397,0.48114642972179117,0.9653594025129856
"univariate","univariate",10,43,176.79692196638007,4.980936221958421,0.709660044966342,0.755583085116411,0.38313729555973863,0.5750344120255659,4.658473920161604,0.7069413839061214,0.7428701150926689,0.3797057656367075,0.55621043361407
"univariate","univariate",10,49,145.47856005244128,14.236394558776132,1.5741431650796076,1.5308926045248743,0.5529123353384057,1.1349308457264642,762133.4290479313,1.5445212052452777,1.5196703943792205,0.5513088952354542,1.4195920416191115
"univariate","univariate",10,55,122.92558285092146,2.665531262249915,0.6936488247044953,0.9357534800692181,0.4307773626054777,0.582297719898684,96358.61909965368,0.6764424970631889,0.9227353240400857,0.4294790710256564,0.6798900387391417
"univariate","univariate",10,63,88.39968254322795,8.645943473262161,1.0551516354444088,1.26815133606365,0.5023830189353458,0.9178301938238318,8.23332825834679,1.0358965614829734,1.2649980738037931,0.5012558980632014,0.9025899034832331
"univariate","univariate",10,71,71.2742050035801,2.173849034963342,0.7524443032171616,1.0952701862176668,0.4480265041664174,0.6294619017960313,2.1279661017410914,0.731905867187812,1.080293540070129,0.44567626053375253,0.6188235810678459
"univariate","univariate",10,80,58.991951098068284,9.30451554396418,0.6616466460366996,0.9564974328944975,0.4509540284673626,0.645151126310875,827045.662747608,0.6763424811901607,0.9524285065064361,0.45198303955505664,0.9718094289310624
"univariate","univariate",10,90,62.34257741881175,4.458839279886772,0.5327371008683114,0.455534468988147,0.27567041402451553,0.34753902023973016,325955.11367335677,0.5284358449019453,0.44610744414661446,0.2750127905425721,0.5400179620077128
"univariate","univariate",10,101,58.03946008316633,1.4915173312281864,0.4861721824118459,0.6176831813035997,0.35298320686641144,0.3762456964659841,31891.529424651944,0.4617358554014286,0.6085987553021834,0.35129161798234404,0.42790032730584016
"univariate","univariate",10,115,48.26460122907008,2.0969057552217305,0.5303993963551461,0.7473523573528331,0.3880872250119607,0.4783431555812713,1589.627906184959,0.5163448897022997,0.7369684931624136,0.3856994307201417,0.47625244982012893
"univariate","univariate",10,129,39.152067425500285,2.8809034591109977,0.6222367652312493,0.6517920403250811,0.352695863138643,0.4558652744835259,2.5713047937839204,0.6125462116877561,0.6470862188911181,0.3512899175652599,0.4425283034367181
"univariate","univariate",10,146,38.79035710394155,3.2670503783667884,0.6381544208780656,0.43636090931954474,0.26355245834242474,0.372167938535782,2.8736789380771035,0.6328865854459279,0.42747237933348964,0.2602993934671396,0.35436275811070816
"univariate","univariate",10,165,33.98411565004088,2.0185375967518775,0.5445542898778586,0.4450628932539057,0.26149751699308404,0.3190699539999808,1.8463654261495008,0.5450341088528255,0.4435875621216214,0.260535798220174,0.31067960028705377
"univariate","univariate",10,186,31.144181819157655,0.9924914657757722,0.47343870925391324,0.3684370125213771,0.2537347345669742,0.23873121072801792,105.98226259142345,0.46495143301758085,0.3731766160754856,0.25595795679834865,0.24191534649168928
"univariate","univariate",10,210,29.33355137048609,3.168744476925196,0.5318752537256421,0.4858345306997769,0.2754146670743009,0.33477035102861247,220642.87852051944,0.5325550727006093,0.483114199534131,0.2761842777192848,0.4967193703888856
"$k$-means","kmeans",10,21,2223.4420742470616,6.061636055716974,3.103169098463359,1.8166558447854444,0.5997599408245825,1.190194238370899,7947.870641911175,3.072513601835915,1.8223780187219334,0.6003668962276214,1.205678851023638
"$k$-means","kmeans",10,24,563.5684327753628,1.5120640694770358,1.144016875670169,1.4193620536716178,0.5373001927121809,0.7815248260690362,1.4869416366299095,1.1628247610386666,1.4157346550993588,0.5366231194896491,0.7769487007000467
"$k$-means","kmeans",10,27,264.5391669866589,1.197812600158888,0.45730935734654,0.690840622003117,0.3411888822414466,0.4114800265016513,1.179435917661425,0.4435137443133078,0.6966653496021354,0.3429866751035858,0.4126138022369447
"$k$-means","kmeans",10,30,101.943879203499,1.2691451041334822,0.46442685219249275,0.7591896031481226,0.389821938881906,0.4492494309369101,1.276277088691685,0.4754688339090515,0.7611497036660898,0.3901173874780358,0.4506852324632638
"$k$-means","kmeans",10,34,111.32957258959809,0.980613685020192,0.4859828271267216,0.7766126660675532,0.3583775738126615,0.42169563876907296,0.9609487407098969,0.5002136637127889,0.7813113669896438,0.35963464458877353,0.4228661269150436
"$k$-means","kmeans",10,38,100.70737346865684,0.8756413814017382,0.5839347367669134,0.7265006608571548,0.3625800555030145,0.3983514331244219,523.485683322094,0.5646811874527725,0.7203016583366917,0.3610066834466609,0.39865040203766156
"$k$-means","kmeans",10,43,88.71730211476493,1.2092792279419309,0.35377633256780927,0.5068456203055355,0.2942415061604504,0.29782420824888894,63042.69332874058,0.35391848366885026,0.5143022699321168,0.2980535417905285,0.39168634638406097
"$k$-means","kmeans",10,49,62.02922044791873,1.1551169946592839,0.5340833583420482,0.529804849757473,0.31124706401036145,0.32620124001834755,17817.62192414548,0.5612994135419814,0.5390346658327777,0.3152475824160547,0.3788109616750175
"$k$-means","kmeans",10,55,52.79922458236489,0.6498998546563678,0.5299585366418328,0.7032662040245207,0.37672834206529693,0.3748744121951678,0.654027595124284,0.5437178527227173,0.7004419017588468,0.3752910975926499,0.3739429527882434
"$k$-means","kmeans",10,63,40.86771493915794,0.7518687915906367,0.25848182276633447,0.30543185683596563,0.22787262014217566,0.18472125483602989,35026.28889995413,0.2526180261431662,0.2999051209419552,0.22788859485246324,0.2478674973102457
"$k$-means","kmeans",10,71,37.24248647541707,0.33923152378154303,0.17402536443581598,0.15248841492804427,0.16068400086261878,0.09240215638404235,14070.86078587457,0.18486797605690855,0.1542368814940219,0.16372097062274754,0.135964558787793
"$k$-means","kmeans",10,80,47.63337182173719,0.6761918301577811,0.35716906820752903,0.6058128622434351,0.32961013790274224,0.32679095428176913,0.6606391081090162,0.3488589596407974,0.6102168874734127,0.3312697012519946,0.327070280453958
"$k$-means","kmeans",10,90,37.365860930985804,0.28409764970915113,0.2207957034268247,0.3104237644681943,0.23166839660661506,0.15945961402765968,1078.401995913655,0.21114095525830734,0.30830515065646824,0.23139331404256047,0.16914709269553913
"$k$-means","kmeans",10,101,35.39910566620659,0.16641220721996944,0.1673561420026368,0.18068636822991152,0.17714529855511071,0.09308610907651522,0.16185163406467765,0.17594085730019055,0.18040320169241586,0.1774061601699083,0.09241058025135442
"$k$-means","kmeans",10,115,23.622500137182993,0.7036378898606861,0.18332464866750292,0.18042343440641997,0.18050809119897768,0.11660680116883013,50498.71753330898,0.1914301523907146,0.1807120933861231,0.18244162284404097,0.19717036198220397
"$k$-means","kmeans",10,129,25.969041535612785,0.22532893231132403,0.2204999111217379,0.20973140021476072,0.1817978254829483,0.1100160693492197,0.21001910423727996,0.21060256385270684,0.20643115088953845,0.18040697865584335,0.10701525689313601
"$k$-means","kmeans",10,146,23.785788314975964,0.2528678452031209,0.22099216773530012,0.21231243483810588,0.18341511205190458,0.11383293040582126,0.22907273544360474,0.20937514210508035,0.20800148531385348,0.18160811726697004,0.10966082965936022
"$k$-means","kmeans",10,165,22.876355685230976,0.3604151683651626,0.228381896970377,0.3792672579242922,0.2569652566536691,0.1953827121455265,0.36201560497462065,0.23658415831919333,0.3864486352960579,0.2592535086203707,0.19831363746842132
"$k$-means","kmeans",10,186,18.389493500325667,0.1653003869951148,0.20976556674783858,0.108798350987112,0.13953802142099533,0.06401865666725905,0.16892410120455253,0.2407020599882457,0.11423277158348176,0.14250478277207423,0.06664674805264793
"$k$-means","kmeans",10,210,16.572839237214858,0.25470180360198014,0.195489241516753,0.20468262462967626,0.17830874388690407,0.1100808979477624,0.2557816305199234,0.1996501443359993,0.21002335803724617,0.18091960252218214,0.1123718756302335
"Gini index","tree",10,21,988.0241401117235,4.56478800146433,1.479642741234822,1.9698000725703464,0.6364544814886424,1.2995253107445546,4.34713314569308,1.4768725183165021,1.968273681142048,0.6360925136987031,1.290761857334358
"Gini index","tree",10,24,232.6980335648844,2.340642004558408,0.8585071464028489,1.1616176526523343,0.47581872220849736,0.7156299105884374,2.343856514959025,0.872984184619583,1.1621595874183128,0.47605100613354445,0.71588870524555
"Gini index","tree",10,27,191.66520493240418,1.51673387608664,0.5451245390295782,0.8075497518407951,0.3806933971880191,0.4863064369473238,1.5234600657007615,0.55044744651679,0.8108527735226781,0.3818307632353785,0.4882999362684003
"Gini index","tree",10,30,178.78986975190227,1.6221214045755348,0.5146148680075069,0.7382674129057373,0.3679230798488271,0.4476557333222068,1.6324307994881777,0.5199377754947188,0.7419880326142154,0.3691584033545075,0.4499393455706829
"Gini index","tree",10,34,84.7415409788004,0.9510805269074543,0.3731481023164454,0.4423960650331662,0.2829427016887386,0.26397981020312256,0.953371682045361,0.38226919855200747,0.44930437523842714,0.2856223557417915,0.26681722665692287
"Gini index","tree",10,38,77.78270075796362,0.632942569828021,0.3397497740795369,0.3468220395426078,0.23796707181633725,0.20060379400573272,0.6229428233002315,0.3455858744972066,0.3498332088608451,0.23938402353125948,0.20045520612949347
"Gini index","tree",10,43,58.2093421298167,0.9801974657809209,0.445981211862122,0.575102062365159,0.29747006243233853,0.3261741080693334,0.9863229782931314,0.4574528353590263,0.582847142040048,0.29971618990063065,0.32976038153465703
"Gini index","tree",10,49,55.50354234000803,1.719558795701864,0.5773108732809445,0.42748468649797194,0.2471565532406708,0.2818823167431758,1.7313038911319338,0.5984132073518121,0.4341709583520993,0.24905150706493215,0.2849980812475993
