"name","dataset","f_train","b","k","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"original {\\sc Dsea}","gaussian","auxiliary",3,12,0.02185552108554252,0.07237799020939581,0.0215585665806267,0.051988895999594165,0.010826714690834313,0.01929305962861951,0.07823554443026974,0.019024481217145253,0.04888453185473457,0.009555886467273905
"original {\\sc Dsea}","gaussian","auxiliary",3,13,0.024213075589327195,0.076191626966939,0.023911846703415094,0.05475964198530072,0.01200390682708809,0.02132903533888636,0.08117403739925269,0.021039191666154585,0.051413537093561425,0.010566767115629082
"original {\\sc Dsea}","gaussian","auxiliary",3,14,0.026592213085284387,0.07982739389996334,0.02629332933411726,0.057428846022484124,0.013194166875860763,0.02339613113083226,0.08397333723930425,0.02309119430091507,0.053868103239566555,0.011595343719712282
"original {\\sc Dsea}","gaussian","auxiliary",3,15,0.028986043561129087,0.08329991307551964,0.028695977706493517,0.060002753715381,0.01439400493874446,0.02548740362031224,0.08664427959483,0.02517355580075603,0.05625027405066819,0.012638148192545436
"original {\\sc Dsea}","gaussian","auxiliary",3,16,0.031388152554311405,0.0866184930354055,0.031113247109554105,0.06248660915437774,0.01560017242515069,0.02759626208760973,0.08919647515004238,0.02727971751019535,0.05856188728568176,0.013691894346843004
"original {\\sc Dsea}","gaussian","auxiliary",3,17,0.03379447617031387,0.08979529387343746,0.03354081818981376,0.06488661071945649,0.016810553136161362,0.029718369266479014,0.09164001848719479,0.02940522284121364,0.06080642062137199,0.01475437141930563
"original {\\sc Dsea}","gaussian","auxiliary",3,18,0.03620112965386512,0.09284020144212646,0.03597456399783645,0.06720791702711187,0.01802312337473472,0.03184955443217818,0.09398275247464959,0.031545771555088885,0.06298679241861369,0.015823447193139425
"original {\\sc Dsea}","gaussian","auxiliary",3,19,0.038604050608351106,0.09576016252256704,0.03841022282298919,0.06945458413632195,0.019235784495972845,0.03398541859497122,0.09623065784660381,0.033696887731345236,0.06510515650299213,0.016896892780618393
"original {\\sc Dsea}","gaussian","auxiliary",3,20,0.041000007059645835,0.09856562538917647,0.04084421807589499,0.07163051747768305,0.02044680358101259,0.036122514029290564,0.09839013143057677,0.035854864218536585,0.06716394293433404,0.01797289335932778
"re-weighting fix","gaussian","auxiliary",3,0,46.671007296182246,1.729186666666666,0.8243259554620201,0.3710176880982349,0.9696785305077406,49.72818600587133,1.709570464144191,0.7988316046364106,0.3645404161063631,0.9387737440377693
"re-weighting fix","gaussian","auxiliary",3,1,0.07042301892186065,0.21631760579152493,0.04784341440867816,0.0785063696665305,0.0270408787669989,0.05729778496739215,0.19968210453995577,0.03908014042504308,0.0708903794795896,0.021973511886043462
"re-weighting fix","gaussian","auxiliary",3,2,0.0063193049957489845,0.06286407954796042,0.0057596023430741515,0.02687588526621497,0.0029716905459009945,0.004112849814857832,0.05769116409867845,0.003799868352617065,0.021826869911939127,0.0019506060892591176
"re-weighting fix","gaussian","auxiliary",3,3,0.001573855643562736,0.030300010494081396,0.001515083182631526,0.01376791203084069,0.0007672623084215443,0.0018789789240154394,0.040889546801397426,0.0018963458835918132,0.015405202379288644,0.0009451716739524236
"re-weighting fix","gaussian","auxiliary",3,4,0.0013521917546127202,0.02336296971705802,0.0013475351414800971,0.01298513106472038,0.0006744824882724415,0.002509321907481024,0.046882505964590704,0.002615169150731498,0.0181055184168001,0.0012900255017705606
"re-weighting fix","gaussian","auxiliary",3,5,0.0016864479977025586,0.025365387474610812,0.0017021834156527643,0.014601369884238977,0.0008483448019333654,0.003173028951792881,0.050563593434618644,0.0033343732341308808,0.020460849491258135,0.001640532937188971
"re-weighting fix","gaussian","auxiliary",3,6,0.0021009517640043383,0.028850843609392416,0.0021230861171499735,0.016314786392999846,0.001057555015788596,0.003723775382276002,0.05232057380262599,0.003916454630777198,0.022190025008471573,0.0019263377626792728
"re-weighting fix","gaussian","auxiliary",3,7,0.0025199935461909244,0.03134516509144204,0.0025405973570859987,0.01785431859074485,0.001266270013822164,0.004200978663761834,0.05326989661832941,0.004410474254529673,0.02356162414955766,0.002170354857060752
"re-weighting fix","gaussian","auxiliary",3,8,0.0029231120454459073,0.0333139008353413,0.002938771821787069,0.019209103417009946,0.0014658056460171193,0.004628206364128112,0.054198226622380635,0.004847536138422709,0.02471385479921743,0.002386950791985355
