"name","configfile","b","k","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"strong smearing","conf/data/gaussian-high.yml",17,3,0.03291733705447853,0.12170720119033245,0.02507290939744371,0.05649274335436046,0.013754187918548825,0.025648854765027974,0.11183088802548741,0.021002191432301167,0.05153093898079601,0.011253181306902315
"strong smearing","conf/data/gaussian-high.yml",17,4,0.020888949119688128,0.08234504289083082,0.017147219275388495,0.046563596166924126,0.009176168592246388,0.016724838998815,0.07593998604974363,0.014400226969250973,0.04259486691367881,0.0075789338704550175
"strong smearing","conf/data/gaussian-high.yml",17,5,0.01913579149551657,0.07032333905798331,0.01647412344342198,0.0455750861261586,0.00866865575848417,0.01621294382999302,0.0695124072157049,0.014519670151477595,0.042729842138618204,0.0075362522050713724
"strong smearing","conf/data/gaussian-high.yml",17,6,0.02083247892066694,0.07289189961714972,0.018516817258738886,0.04828510794193497,0.009634466743924569,0.018466136352632917,0.07470345458727098,0.01700250400623807,0.04621557036959033,0.008740290167461438
"strong smearing","conf/data/gaussian-high.yml",17,7,0.023941341161878175,0.07785562240391836,0.021710521450600213,0.05226966918558775,0.011217490597196763,0.021786825463457813,0.08143994224216022,0.020411014119656287,0.05062798352462019,0.010430027332657684
"strong smearing","conf/data/gaussian-high.yml",17,8,0.027761117849776234,0.08312937154868276,0.0254887741377721,0.05663464690523342,0.013112939553714911,0.02561752261504107,0.08773628405284252,0.024259823751237558,0.055197270464045926,0.012351073630836628
"strong smearing","conf/data/gaussian-high.yml",17,9,0.03203145825252181,0.08857669931173986,0.02964105268536037,0.06108238500478924,0.015207511230631762,0.029772056814166812,0.09503456656347617,0.028389671016224576,0.05972064018146826,0.014419436484146784
"strong smearing","conf/data/gaussian-high.yml",17,10,0.03664915856380249,0.09365856573053119,0.03408691256439797,0.06551951521389993,0.017457285009374376,0.034190416927568114,0.10154913645234773,0.03275331274896914,0.06416232273632831,0.016609421244414065
"strong smearing","conf/data/gaussian-high.yml",17,11,0.04156995826295052,0.09885036928994329,0.03879430271745074,0.06992010972678522,0.019844237946364196,0.03885529724320034,0.10740584410275875,0.03734053383958825,0.0685297651022382,0.018914765199542567
"strong smearing","conf/data/gaussian-high.yml",17,12,0.04677177802473097,0.10435963701633233,0.04374847497547369,0.07427915864496978,0.02235979251260496,0.04376200228728907,0.11280934843553103,0.0421509878533041,0.07283702899934184,0.021334586156277414
"strong smearing","conf/data/gaussian-high.yml",17,13,0.052239534397045304,0.11017397467504556,0.048939520146394154,0.07859666175496703,0.024998150072913828,0.048907563063016087,0.11789113815338528,0.047184746813294993,0.07709529356439473,0.0238684296507336
